testCS,correctAns,CS,US,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,p_port_4_start,p_port_4_end,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,p_port_4.started,p_port_4.stopped,Ready.started,Ready.stopped,vend.started,vend.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,p_port_3_start,p_port_3_end,vend_CS.started,vend_CS.stopped,p_port_3.started,p_port_3.stopped,Outcome.started,Outcome.stopped,reward.started,reward.stopped,p_port_2.started,p_port_2.stopped,vend_testy.started,vend_testy.stopped,choice_text.started,choice_text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,option_text.started,option_text.stopped,p_port_2_start,p_port_2_end,image.started,image.stopped,p_port_5.started,p_port_5.stopped,p_port_5_start,p_port_5_end,feedback_text.started,feedback_text.stopped,text.started,text.stopped,finish_text.started,finish_text.stopped,Thankyou_text.started,Thankyou_text.stopped,version,participant,CB,participant initials,phase,date,expName,psychopyVersion,frameRate,
CByellow.png,k,green.png,2,0,0,0,3,2,3,11,1,,,,,,,,,,,,,122.46351332382437,None,0.002174496445149998,1.5042877432915702,111,4,117,4,123.96357596202506,126.96348057083742,2.0042646501715353,3.504255744981492,125.96348872135059,None,126.94679315055146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CByellow.png,k,,,0,0,0,3,,,,,,,,,,,,,,,,,127.96351287101788,None,,,,,,,,,,,,,,,0.016457304142022622,1.0160814749397105,129.59680348962684,None,130.59676877447964,None,k,1,4.5936229784074385,130.59676877447964,None,129.59680348962684,None,159,4,129.59680348962684,None,0.009414295094757108,None,119,4,135.44674953021422,None,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,red.png,1,0,1,1,2,0,0,0,0,,,,,,,,,,,,,137.6634094802539,None,0.003022512017196277,1.5059698280092562,111,4,117,4,139.36347513716282,142.36335710566163,2.005908699162319,None,141.36336404869144,None,142.34669896684682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,yellow.png,4,0,1,1,2,0,1,1,3,,,,,,,,,,,,,143.19671473959897,None,0.012535609443148132,1.5083273789350642,111,4,117,4,144.78010610760248,147.77999169855138,2.0083245111618453,3.5083153041014157,146.77999652848484,None,147.76332299425667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,blue.png,3,0,1,1,2,0,2,2,2,,,,,,,,,,,,,148.71332744685242,None,0.0022110831869213143,1.5042129396933888,111,4,117,4,150.36336706740076,153.36329069407657,2.0041865259936458,None,152.3632931090433,None,153.3466198766855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,green.png,2,0,1,1,2,0,3,3,1,,,,,,,,,,,,,154.1800037733865,None,0.0023598451443831436,1.5046614593993581,111,4,117,4,155.79663504569544,158.79659368939065,2.0046911936769902,3.5046602519159933,157.79661300912448,None,158.77992317386997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,yellow.png,4,0,1,1,2,1,0,4,3,,,,,,,,,,,,,159.68000030187068,None,0.008015999155759346,1.4992869508787408,111,4,117,4,161.2633014104922,164.26323047084406,1.9992801587850408,3.4992679330152896,163.26322413155503,None,164.2465530122936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,green.png,2,0,1,1,2,1,1,5,1,,,,,,,,,,,,,165.21322858415078,None,0.010423630452351063,1.5041119638990494,111,4,117,4,166.74656553993373,169.74654833329623,2.0041305289560114,3.504075135655512,168.7465425977498,None,169.72987691216258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,red.png,1,0,1,1,2,1,2,6,0,,,,,,,,,,,,,170.67991396680918,None,0.003296459812190733,1.5064484442355024,111,4,117,4,172.4632365082598,175.46318428460472,2.0064422558843944,None,174.46317915279906,None,175.44651407095444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
CBblue.png,s,blue.png,3,0,1,1,2,1,3,7,2,,,,,,,,,,,,,176.19649075143207,None,0.0017954372233361937,1.5035198744226363,111,4,117,4,177.87987472359964,180.87979533156795,2.003524553421812,None,179.8797968409217,None,180.8631441357811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,070,yes,SK,Vpav,2020_Feb_18_1421,Pavlovian,3.2.4,60.01516378498971,
