faces,pgo,outcome,blockcode,blockend,face,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Cavb_trials.thisRepN,Cavb_trials.thisTrialN,Cavb_trials.thisN,Cavb_trials.thisIndex,p_port_2.started,p_port_2.stopped,Intro1.started,Intro1.stopped,p_port_2_start,p_port_2_end,text.started,text.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_8.started,text_8.stopped,text_21.started,text_21.stopped,image.started,image.stopped,empty.started,empty.stopped,fill.started,fill.stopped,mid.started,mid.stopped,text_9.started,text_9.stopped,cor.started,cor.stopped,text_14.started,text_14.stopped,text_17.started,text_17.stopped,text_22.started,text_22.stopped,image_2.started,image_2.stopped,empty1.started,empty1.stopped,fill1.started,fill1.stopped,mid1.started,mid1.stopped,text_10.started,text_10.stopped,text_15.started,text_15.stopped,corr.started,corr.stopped,text_18.started,text_18.stopped,text_23.started,text_23.stopped,empty22.started,empty22.stopped,fill22.started,fill22.stopped,mid22.started,mid22.stopped,image_22.started,image_22.stopped,text_25.started,text_25.stopped,text_26.started,text_26.stopped,neut.started,neut.stopped,text_27.started,text_27.stopped,text_24.started,text_24.stopped,image_4.started,image_4.stopped,empty3.started,empty3.stopped,fill3.started,fill3.stopped,mid3.started,mid3.stopped,text_12.started,text_12.stopped,neutral.started,neutral.stopped,text_13.started,text_13.stopped,text_20.started,text_20.stopped,blockstart_parport.started,blockstart_parport.stopped,blockstart_parport_start,blockstart_parport_end,text_6.started,text_6.stopped,image_6.started,image_6.stopped,decision_partport.started,decision_partport.stopped,decision_partport_start,decision_partport_end,obtained,image_5.started,image_5.stopped,emptymeter.started,emptymeter.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,fillmeter.started,fillmeter.stopped,midpoint.started,midpoint.stopped,polygon.started,polygon.stopped,text_7.started,text_7.stopped,feedback_parport.started,feedback_parport.stopped,feedback_parport_start,feedback_parport_end,correctimg.started,correctimg.stopped,incorrectimg.started,incorrectimg.stopped,neutralimg.started,neutralimg.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,p_port.started,p_port.stopped,p_port_start,p_port_end,text_end.started,text_end.stopped,participant,sequence #,participant initials,date,expName,psychopyVersion,frameRate,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012968768960945454,None,95,4,0,310.63944086122774,None,310.63944086122774,None,space,0.8831901556027333,310.63944086122774,None,310.63944086122774,None,310.63944086122774,None,310.63944086122774,None,312.7060974453807,None,0.01146152373894438,None,100,4,313.122745848812,None,313.122745848812,None,313.122745848812,None,313.122745848812,None,315.1894120928582,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012945222971211479,None,95,4,1,318.1394677278058,None,318.1394677278058,None,None,,318.1394677278058,None,318.1394677278058,None,318.1394677278058,None,318.1394677278058,None,320.20610136971254,None,0.01225937054869064,None,100,4,320.62274977314337,None,320.62274977314337,None,320.62274977314337,None,320.62274977314337,None,322.6894389594363,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006555173385550006,None,95,4,0,325.65608274423084,None,325.65608274423084,None,space,1.4754270427506526,325.65608274423084,None,325.65608274423084,None,325.65608274423084,None,325.65608274423084,None,327.6894715615763,None,0.011514049408560822,None,100,4,328.1227648667268,None,328.1227648667268,None,328.1227648667268,None,328.1227648667268,None,330.1894434875112,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012971485805792327,None,95,4,0,333.1394055422429,None,333.1394055422429,None,space,1.5040749656018306,333.1394055422429,None,333.1394055422429,None,333.1394055422429,None,333.1394055422429,None,335.20608144618245,None,0.01146695742954762,None,100,4,335.6227244159236,None,335.6227244159236,None,335.6227244159236,None,335.6227244159236,None,337.689429299543,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010971586027153535,None,95,4,1,340.63939316550477,None,340.63939316550477,None,None,,340.63939316550477,None,340.63939316550477,None,340.63939316550477,None,340.63939316550477,None,342.7060328448447,None,0.01148869218877735,None,100,4,343.12271264292895,None,343.12271264292895,None,343.12271264292895,None,343.12271264292895,None,345.18944741184305,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01290567778323748,None,95,4,1,348.13937414758993,None,348.13937414758993,None,None,,348.13937414758993,None,348.13937414758993,None,348.13937414758993,None,348.13937414758993,None,350.20607540874926,None,0.01034369296485238,None,100,4,350.6226999643186,None,350.6226999643186,None,350.6226999643186,None,350.6226999643186,None,352.6893559447285,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129120170877286,None,95,4,0,355.63936901577154,None,355.63936901577154,None,space,1.2879587015413563,355.63936901577154,None,355.63936901577154,None,355.63936901577154,None,355.63936901577154,None,357.7060482402994,None,0.011651401016479213,None,100,4,358.1226730977405,None,358.1226730977405,None,358.1226730977405,None,358.1226730977405,None,360.1893550391137,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134022566717249,None,95,4,1,363.13935482780334,None,363.13935482780334,None,None,,363.13935482780334,None,363.13935482780334,None,363.13935482780334,None,363.13935482780334,None,365.206052466503,None,0.01125051544568123,None,100,4,365.6226613247459,None,365.6226613247459,None,365.6226613247459,None,365.6226613247459,None,367.6893284744069,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012868245696608938,None,95,4,0,370.639344564167,None,370.639344564167,None,space,1.4588506658983533,370.639344564167,None,370.639344564167,None,370.639344564167,None,370.639344564167,None,372.706067560086,None,0.011396319459890947,None,100,4,373.12269121004056,None,373.12269121004056,None,373.12269121004056,None,373.12269121004056,None,375.1893145883105,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
Faces\faces\M1.jpg,0.3,1,84,92,M1,0,0,0,1,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012822361204143817,None,95,4,1,378.13942969197615,None,378.13942969197615,None,None,,378.13942969197615,None,378.13942969197615,None,378.13942969197615,None,378.13942969197615,None,380.20598635660826,None,0.011404168123135605,None,100,4,380.62269181378406,None,380.62269181378406,None,380.62269181378406,None,380.62269181378406,None,382.6893650008783,None,,,,,,,083,001,cm,2020_Feb_17_1458,Neighborhood,3.2.4,59.99750060673399,
