"block","block_trial","event","eventn","time","et.msg"
"GtW",39,"face",77,11023480,"TRIALID 1_39_1_F1_0.7"
"GtW",39,"feedback",78,11025980,"TRIALID 1_39_2_1_1"
"GtW",40,"face",79,11030981,"TRIALID 1_40_1_F1_0.7"
"GtW",40,"feedback",80,11033481,"TRIALID 1_40_2_1_1"
"socint_score",1,"socint_score",81,11038488,"TRIALID socint_41_3_score_27"
"GtA",1,"face",82,11044816,"TRIALID -1_1_1_F2_0.3"
"GtA",1,"feedback",83,11047331,"TRIALID 0_1_2_-1_1"
"GtA",2,"face",84,11052332,"TRIALID -1_2_1_F2_0.3"
"GtA",2,"feedback",85,11054832,"TRIALID 0_2_2_-1_1"
"GtA",3,"face",86,11059832,"TRIALID -1_3_1_F2_0.3"
"GtA",3,"feedback",87,11062333,"TRIALID 0_3_2_-1_1"
"GtA",4,"face",88,11067333,"TRIALID -1_4_1_F2_0.3"
"GtA",4,"feedback",89,11069833,"TRIALID 0_4_2_-1_1"
"GtA",5,"face",90,11074833,"TRIALID -1_5_1_F2_0.3"
"GtA",5,"feedback",91,11077333,"TRIALID -1_5_2_-1_0"
"GtA",6,"face",92,11082334,"TRIALID -1_6_1_F2_0.3"
"GtA",6,"feedback",93,11084832,"TRIALID 0_6_2_-1_1"
"GtA",7,"face",94,11089834,"TRIALID -1_7_1_F2_0.3"
"GtA",7,"feedback",95,11092333,"TRIALID -1_7_2_-1_1"
"GtA",8,"face",96,11097334,"TRIALID -1_8_1_F2_0.3"
"GtA",8,"feedback",97,11099834,"TRIALID -1_8_2_-1_1"
"GtA",9,"face",98,11104835,"TRIALID -1_9_1_F2_0.3"
"GtA",9,"feedback",99,11107334,"TRIALID 0_9_2_-1_0"
"GtA",10,"face",100,11112335,"TRIALID -1_10_1_F2_0.3"
"GtA",10,"feedback",101,11114835,"TRIALID 0_10_2_-1_0"
"GtA",11,"face",102,11119836,"TRIALID -1_11_1_F2_0.3"
"GtA",11,"feedback",103,11122335,"TRIALID -1_11_2_-1_0"
"GtA",12,"face",104,11127336,"TRIALID -1_12_1_F2_0.3"
"GtA",12,"feedback",105,11129836,"TRIALID -1_12_2_-1_1"
"GtA",13,"face",106,11134836,"TRIALID -1_13_1_F2_0.3"
"GtA",13,"feedback",107,11137336,"TRIALID -1_13_2_-1_0"
"GtA",14,"face",108,11142337,"TRIALID -1_14_1_F2_0.3"
"GtA",14,"feedback",109,11144837,"TRIALID -1_14_2_-1_0"
"GtA",15,"face",110,11149837,"TRIALID -1_15_1_F2_0.3"
"GtA",15,"feedback",111,11152337,"TRIALID 0_15_2_-1_1"
"GtA",16,"face",112,11157337,"TRIALID -1_16_1_F2_0.3"
"GtA",16,"feedback",113,11159838,"TRIALID 0_16_2_-1_1"
"GtA",17,"face",114,11164838,"TRIALID -1_17_1_F2_0.3"
